Date,Region name,Site name,Survey type,Plot number,Round,Include in analysis?,Sheet uploaded?,Entered?
"Friday, May 24, 2024",surrey,surjit_168,vegetation (bee),"p2 and ditch (p1 and ditch floral abundance surveyed on May 23, 2024)",,y,y,
"Wednesday, June 5, 2024",delta_4,lbf_ladnertrunk,bombus,all,1,y,y,NC
"Wednesday, June 5, 2024",delta_4,sandhu_ladnertrunk,bombus,all,1,y,y,NC
"Wednesday, June 5, 2024",delta_4,lbf_ladnertrunk,vegetation (bee and rodent),all,1,y,y,
"Wednesday, June 5, 2024",delta_4,sandhu_ladnertrunk,vegetation (bee and rodent),all,1,y,y,
"Thursday, June 6, 2024",delta_3,bates_57b,bombus,all,1,y,y,
"Thursday, June 6, 2024",delta_3,bks_56,bombus,all,1,y,y,
"Thursday, June 6, 2024",delta_3,bates_57b,vegetation (bee),all,1,y,y,
"Thursday, June 6, 2024",delta_3,bks_56,vegetation (bee),all,1,y,y,
"Friday, June 7, 2024",delta_4,lbf_ladnertrunk,rodent (holes only),all,1,y,y,
"Friday, June 7, 2024",delta_4,sandhu_ladnertrunk,rodent (holes only),all,1,y,y,
"Tuesday, June 18, 2024",delta_1,bks_68,bombus,all,2,y,y,NC
"Tuesday, June 18, 2024",delta_1,chong_68,bombus,all,2,y,y,NC
"Tuesday, June 18, 2024",delta_1,bks_68,vegetation (bee),all,2,y,y,
"Tuesday, June 18, 2024",delta_1,chong_68,vegetation (bee),all,2,y,y,
"Wednesday, June 19, 2024",delta_2,bks_96,bombus,all,2,y,y,NC
"Wednesday, June 19, 2024",delta_2,chong_96,bombus,all,2,y,y,
"Wednesday, June 19, 2024",delta_2,bks_96,vegetation (bee),all,2,y,y,
"Wednesday, June 19, 2024",delta_2,chong_96,vegetation (bee),all,2,y,y,
"Thursday, June 20, 2024",pittmeadows,bks_neaves,bombus,all,2,y,y,NC
"Thursday, June 20, 2024",pittpeadows,gwb_neaves,bombus,all,2,y,y,NC
"Thursday, June 20, 2024",pittmeadows,bks_neaves,vegetation (bee),all,2,y,y,
"Thursday, June 20, 2024",pittpeadows,gwb_neaves,vegetation (bee),all,2,y,y,
"Friday, June 21, 2024",delta_3,bates_57b,bombus,all,2,y,y,
"Friday, June 21, 2024",delta_3,bks_56,bombus,all,2,y,y,
"Friday, June 21, 2024",delta_3,bates_57b,vegetation (bee),all,2,y,y,
"Friday, June 21, 2024",delta_3,bks_56,vegetation (bee),all,2,y,y,
"Tuesday, July 2, 2024",delta_4,lbf_ladnertrunk,bombus,all,2,y,y,
"Tuesday, July 2, 2024",delta_4,sandhu_ladnertrunk,bombus,all,2,y,y,
"Tuesday, July 2, 2024",delta_4,lbf_ladnertrunk,vegetation (bee),all,2,y,y,
"Tuesday, July 2, 2024",delta_4,sandhu_ladnertrunk,vegetation (bee),all,2,y,y,
"Wednesday, July 3, 2024",surrey,avtar_168,bombus,all,2,y,y,
"Wednesday, July 3, 2024",surrey,surjit_168,bombus,all,2,y,y,
"Wednesday, July 3, 2024",surrey,surjit_168,vegetation (bee),all,2,y,y,
"Wednesday, July 3, 2024",surrey,avtar_168,vegetation (bee),all,2,y,y,
"Tuesday, July 9, 2024",delta_1,bks_68,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
"Tuesday, July 9, 2024",delta_1,chong_68,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
"Wednesday, July 10, 2024",delta_2,bks_96,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
"Wednesday, July 10, 2024",delta_2,chong_96,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
"Wednesday, July 10, 2024",delta_1,bks_68,vegetation (rodent),p1 and p2,3,y,y,
"Wednesday, July 10, 2024",delta_2,bks_96,vegetation (rodent),p1 and p2,3,y,y,
"Wednesday, July 10, 2024",delta_1,chong_68,vegetation (rodent),p1 and p2,3,y,y,
"Wednesday, July 10, 2024",delta_2,chong_96,vegetation (rodent),p1 and p2,3,y,y,
"Tuesday, July 23, 2024",delta_3,bates_57b,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
"Wednesday, July 24, 2024",delta_4,lbf_ladnertrunk,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
"Wednesday, July 24, 2024",delta_3,bates_57b,vegetation (rodent),p1 and p2,3,y,y,
"Wednesday, July 24, 2024",delta_3,bks_56,vegetation (rodent),p1 and p2,3,y,y,
"Friday, July 26, 2024",delta_4,lbf_ladnertrunk,vegetation (rodent),p1 and p2,3,y,y,
"Monday, July 29, 2024",delta_4,sandhu_ladnertrunk,vegetation (rodent),p1 and p2,3,y,y (excel doc),
"Tuesday, August 6, 2024",surrey,surjit_168,rodent (powder),all,2,y,na (already entered),RG/AD
"Tuesday, August 6, 2024",surrey,avtar_168,rodent (powder),all,2,y,na (already entered),RG/AD
"Tuesday, August 6, 2024",surrey,surjit_168,vegetation (rodent),all,3,y,y (excel doc),
"Tuesday, August 6, 2024",surrey,avtar_168,vegetation (rodent),all,3,y,y (excel doc),
"Wednesday, August 7, 2024",delta_3,bks_56,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
"Monday, August 12, 2024",delta_4,sandhu_ladnertrunk,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
"Wednesday, August 14, 2024",pittmeadows,bks_neaves,vegetation (rodent),p1 and p2,3,y,y (excel doc),
"Wednesday, August 14, 2024",pittpeadows,gwb_neaves,vegetation (rodent),p1 and p2,3,y,y (excel doc),
"Tuesday, October 1, 2024",pittmeadows,bks_neaves,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
"Tuesday, October 1, 2024",pittpeadows,gwb_neaves,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
