Date,Region name,Site name,Survey type,p1,p2,d,Plot number,Round,ditchVSfield_analysis,floralVSburrow_analysis,notes
2024-06-05,delta_4,sandhu_ladnertrunk,bombus,y,y,y,all,2024_r2,y,y,
2024-06-05,delta_4,lbf_ladnertrunk,vegetation,y,y,y,all,2024_r2,y,y,
2024-06-05,delta_4,sandhu_ladnertrunk,vegetation,y,y,y,all,2024_r2,y,y,
2024-06-06,delta_3,bates_57b,bombus,y,y,y,all,2024_r2,y,y,
2024-06-06,delta_3,bks_56,bombus,y,y,y,all,2024_r2,y,y,
2024-06-06,delta_3,bates_57b,vegetation,y,y,y,all,2024_r2,y,y,
2024-06-06,delta_3,bks_56,vegetation,y,y,y,all,2024_r2,y,y,
2024-06-07,delta_4,lbf_ladnertrunk,rodent,y,y,y,all,2024_r1,y,n,no_powder
2024-06-07,delta_4,sandhu_ladnertrunk,rodent,y,y,y,all,2024_r1,y,n,no_powder
2024-06-18,delta_1,bks_68,bombus,y,y,y,all,2024_r3,y,y,
2024-06-18,delta_1,chong_68,bombus,y,y,y,all,2024_r3,y,y,
2024-06-18,delta_1,bks_68,vegetation,y,y,y,all,2024_r3,y,y,
2024-06-18,delta_1,chong_68,vegetation,y,y,y,all,2024_r3,y,y,
2024-06-19,delta_2,bks_96,vegetation,y,y,y,all,2024_r3,y,y,
2024-06-19,delta_2,chong_96,vegetation,y,y,y,all,2024_r3,y,y,
2024-06-19,delta_2,bks_96,bombus,y,y,y,all,2024_r3,y,y,
2024-06-19,delta_2,chong_96,bombus,y,y,y,all,2024_r3,y,y,
2024-06-20,pittmeadows,bks_neaves,vegetation,y,y,y,all,2024_r3,y,y,
2024-06-20,pittmeadows,gwb_neaves,vegetation,y,y,y,all,2024_r3,y,y,
2024-06-20,pittmeadows,bks_neaves,bombus,y,y,y,all,2024_r3,y,y,
2024-06-20,pittmeadows,gwb_neaves,bombus,y,y,y,all,2024_r3,y,y,
2024-06-21,delta_3,bates_57b,vegetation,y,y,y,all,2024_r3,y,y,
2024-06-21,delta_3,bks_56,vegetation,y,y,y,all,2024_r3,y,y,
2024-06-21,delta_3,bates_57b,bombus,y,y,y,all,2024_r3,y,y,
2024-06-21,delta_3,bks_56,bombus,y,y,y,all,2024_r3,y,y,
2024-07-02,delta_4,lbf_ladnertrunk,vegetation,y,y,y,all,2024_r3,y,y,
2024-07-02,delta_4,sandhu_ladnertrunk,vegetation,y,y,y,all,2024_r3,y,y,
2024-07-02,delta_4,lbf_ladnertrunk,bombus,y,y,y,all,2024_r3,y,y,
2024-07-02,delta_4,sandhu_ladnertrunk,bombus,y,y,y,all,2024_r3,y,y,
2024-07-03,surrey,surjit_168,vegetation,y,y,y,all,2024_r3,y,y,
2024-07-03,surrey,avtar_168,vegetation,y,y,y,all,2024_r3,y,y,
2024-07-03,surrey,avtar_168,bombus,y,y,y,all,2024_r3,y,y,
2024-07-03,surrey,surjit_168,bombus,y,y,y,all,2024_r3,y,y,
2024-07-09,delta_1,bks_68,rodent,y,y,n,p1 and p2,2024_r2,n,y,powder
2024-07-09,delta_1,chong_68,rodent,y,y,n,p1 and p2,2024_r2,n,y,powder
2024-07-10,delta_2,bks_96,rodent,y,y,n,p1 and p2,2024_r2,n,y,powder
2024-07-10,delta_2,chong_96,rodent,y,y,n,p1 and p2,2024_r2,n,y,powder
2024-07-23,delta_3,bates_57b,rodent,y,y,n,p1 and p2,2024_r2,n,y,powder
2024-07-24,delta_4,lbf_ladnertrunk,rodent,y,y,n,p1 and p2,2024_r2,n,y,powder
2024-08-06,surrey,surjit_168,rodent,y,y,n,all,2024_r2,n,y,powder
2024-08-06,surrey,avtar_168,rodent,y,y,n,all,2024_r2,n,y,powder
2024-08-07,delta_3,bks_56,rodent,y,y,n,p1 and p2,2024_r2,n,y,powder
2024-08-12,delta_4,sandhu_ladnertrunk,rodent,y,y,n,p1 and p2,2024_r2,n,y,powder
2024-10-01,pittmeadows,bks_neaves,rodent,y,y,n,p1 and p2,2024_r2,n,y,powder
2024-10-01,pittmeadows,gwb_neaves,rodent,y,y,n,p1 and p2,2024_r2,n,y,powder
2025-04-03,delta_4,lbf_ladnertrunk,bombus,y,y,y,all,2025_r1,y,y,
2025-04-03,delta_4,sandhu_ladnertrunk,bombus,y,y,y,all,2025_r1,y,y,
2025-04-03,delta_4,sandhu_ladnertrunk,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-03,delta_4,lbf_ladnertrunk,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-04,delta_1,chong_68,bombus,y,y,y,all,2025_r1,y,y,
2025-04-04,delta_1,bks_68,bombus,y,y,y,all,2025_r1,y,y,
2025-04-04,delta_1,bks_68,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-04,delta_1,chong_68,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-11,delta_3,bks_56,bombus,y,y,y,all,2025_r1,y,y,
2025-04-11,delta_3,bates_57b,bombus,y,y,y,all,2025_r1,y,y,
2025-04-14,pittmeadows,bks_neaves,bombus,y,y,y,all,2025_r1,y,y,
2025-04-14,pittmeadows,gwb_neaves,bombus,y,y,y,all,2025_r1,y,y,
2025-04-16,delta_2,bks_96,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-16,delta_2,chong_96,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-17,delta_3,bates_57b,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-17,delta_3,bks_56,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-18,surrey,avtar_168,bombus,y,y,y,all,2025_r1,y,y,
2025-04-18,surrey,surjit_168,bombus,y,y,y,all,2025_r1,y,y,
2025-04-18,surrey,avtar_168,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-18,surrey,surjit_168,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-19,delta_2,chong_96,bombus,y,y,y,all,2025_r1,y,y,
2025-04-19,delta_2,bks_96,bombus,y,y,y,all,2025_r1,y,y,
2025-04-24,pittmeadows,gwb_neaves,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-24,pittmeadows,bks_neaves,vegetation,y,y,y,all,2025_r1,y,y,
2025-04-27,delta_4,sandhu_ladnertrunk,bombus,y,y,y,all,2025_r2,y,y,
2025-04-27,delta_4,lbf_ladnertrunk,bombus,y,y,y,all,2025_r2,y,y,
2025-04-27,delta_4,sandhu_ladnertrunk,vegetation,y,y,y,all,2025_r2,y,y,
2025-04-27,delta_4,lbf_ladnertrunk,vegetation,y,y,y,all,2025_r2,y,y,
2025-04-29,delta_1,chong_68,bombus,y,y,y,all,2025_r2,y,y,
2025-04-29,delta_1,bks_68,bombus,y,y,y,all,2025_r2,y,y,
2025-04-29,delta_1,chong_68,vegetation,y,y,y,all,2025_r2,y,y,
2025-04-29,delta_1,bks_68,vegetation,y,y,y,all,2025_r2,y,y,
2025-04-30,delta_3,bates_57b,bombus,y,y,y,all,2025_r2,y,y,
2025-04-30,delta_3,bks_56,bombus,y,y,y,all,2025_r2,y,y,
2025-04-30,delta_3,bates_57b,vegetation,y,y,y,all,2025_r2,y,y,
2025-04-30,delta_3,bks_56,vegetation,y,y,y,all,2025_r2,y,y,
2025-05-01,delta_2,bks_96,bombus,y,y,y,all,2025_r2,y,y,
2025-05-01,delta_2,chong_96,bombus,y,y,y,all,2025_r2,y,y,
2025-05-01,delta_2,bks_96,vegetation,y,y,y,all,2025_r2,y,y,
2025-05-01,delta_2,chong_96,vegetation,y,y,y,all,2025_r2,y,y,
2025-05-06,pittmeadows,gwb_neaves,bombus,y,y,y,all,2025_r2,y,y,
2025-05-06,pittmeadows,bks_neaves,bombus,y,y,y,all,2025_r2,y,y,
2025-05-06,pittmeadows,gwb_neaves,vegetation,y,y,y,all,2025_r2,y,y,
2025-05-06,pittmeadows,bks_neaves,vegetation,y,y,y,all,2025_r2,y,y,
2025-05-13,surrey,surjit_168,bombus,y,y,y,all,2025_r2,y,y,
2025-05-13,surrey,avtar_168,bombus,y,y,y,all,2025_r2,y,y,
2025-05-13,surrey,avtar_168,vegetation,y,y,y,all,2025_r2,y,y,
2025-05-13,surrey,surjit_168,vegetation,y,y,y,all,2025_r2,y,y,
2025-06-18,delta_3,bks_56,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-18,delta_3,bates_57b,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-18,delta_3,bates_57b,bombus,y,y,y,all,2025_r3,y,y,
2025-06-18,delta_3,bks_56,bombus,y,y,y,all,2025_r3,y,y,
2025-06-23,delta_4,lbf_ladnertrunk,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-23,delta_4,sandhu_ladnertrunk,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-23,delta_4,lbf_ladnertrunk,bombus,y,y,y,all,2025_r3,y,y,
2025-06-23,delta_4,sandhu_ladnertrunk,bombus,y,y,y,all,2025_r3,y,y,
2025-06-24,pittmeadows,gwb_neaves,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-24,pittmeadows,bks_neaves,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-24,pittmeadows,bks_neaves,bombus,y,y,y,all,2025_r3,y,y,
2025-06-24,pittmeadows,gwb_neaves,bombus,y,y,y,all,2025_r3,y,y,
2025-06-25,surrey,avtar_168,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-25,surrey,surjit_168,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-25,surrey,surjit_168,bombus,y,y,y,all,2025_r3,y,y,
2025-06-25,surrey,avtar_168,bombus,y,y,y,all,2025_r3,y,y,
2025-06-27,delta_1,chong_68,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-27,delta_1,bks_68,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-27,delta_2,chong_96,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-27,delta_2,bks_96,vegetation,y,y,y,all,2025_r3,y,y,
2025-06-27,delta_1,chong_68,bombus,y,y,y,all,2025_r3,y,y,
2025-06-27,delta_1,bks_68,bombus,y,y,y,all,2025_r3,y,y,
2025-06-27,delta_2,chong_96,bombus,y,y,y,all,2025_r3,y,y,
2025-06-27,delta_2,bks_96,bombus,y,y,y,all,2025_r3,y,y,
