date,area,site_id,plot_id,round,plot_type,julianDate
2025-06-24,pittmeadows,gwb_neaves,p1,2025_r3,field,20263
2025-06-24,pittmeadows,gwb_neaves,p2,2025_r3,field,20263
2025-06-24,pittmeadows,gwb_neaves,d,2025_r3,ditch,20263
2025-06-25,surrey,surjit_168,p1,2025_r3,field,20264
2025-06-25,surrey,surjit_168,p2,2025_r3,field,20264
2025-06-25,surrey,surjit_168,d,2025_r3,ditch,20264
2025-06-25,surrey,avtar_168,p1,2025_r3,field,20264
2025-06-25,surrey,avtar_168,p2,2025_r3,field,20264
2025-06-25,surrey,avtar_168,d,2025_r3,ditch,20264
2025-06-27,delta_1,chong_68,p1,2025_r3,field,20266
2025-06-27,delta_1,chong_68,p2,2025_r3,field,20266
2025-06-27,delta_1,chong_68,d,2025_r3,ditch,20266
2025-06-27,delta_1,bks_68,p1,2025_r3,field,20266
2025-06-27,delta_1,bks_68,p2,2025_r3,field,20266
2025-06-27,delta_1,bks_68,d,2025_r3,ditch,20266
2025-06-27,delta_2,chong_96,p1,2025_r3,field,20266
2025-06-27,delta_2,chong_96,p2,2025_r3,field,20266
2025-06-27,delta_2,chong_96,d,2025_r3,ditch,20266
2025-06-27,delta_2,bks_96,p1,2025_r3,field,20266
2025-06-27,delta_2,bks_96,p2,2025_r3,field,20266
2025-06-27,delta_2,bks_96,d,2025_r3,ditch,20266
