"","V1","V2","V3","V4"
"104","Digitalis purpurea","Purple Foxglove","DIPU",""
"105","Diervilla sessilifolia","Southern Bush Honeysuckle","DISE",""
"107","Echinacea purpurea","Purple Coneflower","ECPU",""
"109","Echinops sphaerocephalus","Great Globe Thistle","ECSP",""
"111","Epilobium ciliatum","Fringed Willowherb","EPCI",""
"116","Eriocapitella hupehensis","Japanese Anenome","ERHU",""
"118","Fallopia convolvulus","Black Bindweed","FACO",""
"126","Galeopsis bifida","Split-lipped Hemp-nettle","GABI",""
"128","Geranium dissectum","Cut-leaved Crane's-bill / Geranium","GEDI",""
"131","Geranium x oxonianum","Wargrave pink cranesbill","GEOX",""
"132","Geranium robertianum","Herb Robert","GERO",""
"138","Heuchera americanum","American Alum Root","HEAM",""
"142","Hesperis matronalis","Dame's Rocket","HEMA",""
"146","Helianthus pauciflorus","Stiff Sunflower","HEPA",""
"150","Hosta ventricosa","Blue Plantain Lily","HOVE",""
"152","Hydrangea arborescens","Wild Hydrangea","HYAR",""
"154","Hyacinthoides non-scripta","Common Bluebell","HYNO",""
"156","Hypericum perforatum","Common St. John's wort","HYPE",""
"158","Hypochaeris radicata","Cat's Ear / False Dandelion","HYRA",""
"161","Impatiens glandulifera","Himalayan Balsam","IMGL",""
"163","Iris pseudacorus","Yellow Iris","IRPS",""
"165","Jacobaea vulgare","Tansy Ragwort","JAVU",""
"166","Kniphofia uvaria","Red-hot Poker","KNUV",""
"168","Lavandula angustifolia","English Lavendar","LAAN",""
"169","Laburnum anagyroides","Common Laburnum","LAANA",""
"170","Lapsana communis","Nipplewort","LACO",""
"171","Lavandula x intermedia","Lavendar","LAIN",""
"172","Lavandula latifolia","Broad-leaved Lavendar","LALA",""
"173","Lamium purpureum","Red Deadnettle","LAPU",""
"177","Lathyrus sylvestris","Narrow-leaved Everlasting Pea","LASY",""
"179","Lepidium campestre","Field Peppergrass","LECA",""
"190","Linaria vulgaris","Yellow Toadflax","LIVU",""
"192","Lotus corniculatus","Bird's-foot Trefoil","LOCO",""
"193","Lobelia erinus","Garden Lobelia","LOER",""
"194","Lonicera involucrata","Twinberry Hunsuckle","LOIN",""
"198","Lupinus polyphyllus","Large-leaved Lupine","LUPO",""
"202","Lythrum salicaria","Purple Loosestrife","LYSA",""
"205","Malus domesticus","Apple","MADO",""
"207","Malva moschata","Musk Mallow","MAMO",""
"208","Malva neglecta","Dwarf Mallow","MANE",""
"210","Malva sylvestris","Common Mallow","MASY",""
"212","Melilotus albus","White Sweetclover","MEAL",""
"213","Mentha longifolia","Horsemint","MELO",""
"217","Medicago sativa","Alfalfa","MESA",""
"219","Monarda didyma","Scarlet Beebalm","MODI",""
"222","Muscari armeniacum","Grape Hyacinth","MUAR",""
"223","Myosotis arvensis","Field Forget-Me-Not","MYAR",""
"233","Nepeta racemosa","Catmint","NERA",""
"238","Origanum vulgare","Oregano","ORVU",""
"247","Persicaria amplexicaulis","Red Bistort","PEAM",""
"252","Persicaria lapathifolia","Pale Persicaria","PELA",""
"253","Persicaria maculosa","Spotted Lady's Thumb","PEMA",""
"254","Phacelia campanularia","Desertbells","PHCA",""
"260","Phacelia tanacetifolia","Lacy Phacilia","PHTA",""
"261","Phaseolus vulgaris","Common Bean","PHVU",""
"264","Pieris japonica","Japanese Andromeda","PIJA",""
"265","Pisum sativum","Snap Pea","PISA",""
"266","Plantago lanceolata","Ribwort Plantain","PLLA",""
"269","Portulaca oleracea","Common Purslane","POOL",""
"272","Prunella vulgaris","Self Heal","PRVU",""
"274","Ranunculus acris","Meadow Buttercup","RAAC",""
"276","Raphanus raphanastrum","Jointed Charlock/Wild Radish","RARA",""
"277","Ranunculus repens","Creeping Buttercup","RARE",""
"278","Raphanus sativus","Radish","RASA",""
"282","Rhododendron daphnoides","Rhododendron daphnoides","RHDAP",""
"284","Rhododendron spp.","unknown rhododendron","Rhododendron spp.",""
"285","Rhododendron ponticum","Common Rhododendron","RHPO",""
"286","Rosa acicularis","Prickly Wild Rose","ROAC",""
"287","Rosa canina","Dog-rose","ROCA",""
"290","Rosa nutkana","Nootka Rose","RONU",""
"293","Rorippa spp.","unknown yellowcress","Rorippa spp.",""
"294","Rosa rugosa","Rugosa Rose","RORU",""
"297","Rorippa sylvestris","Creeping Yellowcress","ROSY",""
"298","Rumex acetosella","Sheep's Sorrel","RUAC",""
"299","Rubus armeniacus","Eurasian Blackberry","RUAR",""
"300","Rubus spp.","unknown bramble","Rubus spp.",""
"302","Rudbeckia hirta","Black-Eyed Susan","RUHI",""
"304","Rubus laciniatus","Cut-leaf Blackberry","RULA",""
"306","Rubus parviflorus","Thimbleberry","RUPA",""
"307","Rubus spectabilis","Salmonberry","RUSP",""
"308","Rubus ursinus","Pacific Blackberry","RUUR",""
"310","Salvia nemorosa","Woodland Sage","SANE",""
"312","Salvia officinalis","Oregano","SAOF",""
"314","Salvia rosmarinus","Rosemary","SARO",""
"318","Scorzoneroides autumnalis","Autumn Hawkbit","SCAU",""
"322","Sinapis arvensis","Charlock Mustard","SIAR",""
"327","Sisymbrium officinale","Hedge Mustard","SIOF",""
"328","Sisymbrium orientale","Indian Hedgemustard","SIOR",""
"331","Sonchus arvensis","Field Milk Thistle","SOAR",""
"332","Sonchus asper","Spiny Sowthistle","SOAS",""
"333","Sorbus aucuparia","Rowan/mountain ash","SOAU",""
"334","Solidago canadensis","Canada Goldenrod","SOCA",""
"335","Solanum dulcamara","Bittersweet Nightshade","SODU",""
"336","Solanum lycopersicum","Tomato","SOLY",""
"337","Solanum nigrum","Black Nightshade","SONI",""
"341","Solanum tuberosum","Potato","SOTU",""
"343","Spirea douglasii","Rose Spirea","SPDO",""
"344","Spirea japonica","Japanese Spirea","SPJA",""
"349","Stellaria media","Common Chickweed","STME",""
"350","Symphoricarpos albus","Common Snowberry","SYAL",""
"352","Symphytum officinale","Comfrey","SYOF",""
"353","Tagetes erecta","Mexican Marigold","TAER",""
"354","Taraxacum officinale","Common Dandelion","TAOF",""
"355","Tanacetum parthenium","Feverfew","TAPA",""
"357","Tanacetum vulgare","Common Tansy","TAVU",""
"360","Trifolium arvense","Hare's-foot Clover","TRAR",""
"361","Trifolium dubium","Lesser Hop Trefoil","TRDU",""
"363","Trifolium hybridum","Alsike Clover","TRHY",""
"364","Tripleurospermum inodorum","Scentless Mayweed","TRIN",""
"365","Trifolium medium","Zigzag Clover","TRME",""
"366","Trifolium pratense","Red Clover","TRPR",""
"367","Trifolium repens","White Clover","TRRE",""
"368","Tradescantia virginiana","Virginia spiderwort","TRVI",""
"372","Vaccinium corymbosum","Highbush Blueberry","VACO",""
"382","Veronicastrum virginicum","Culver's Root","VEVI",""
"384","Vicia cracca","Tufted vetch / Bird vetch","VICR",""
"387","Vicia hirsuta","Hairy Tare","VIHI",""
"389","Viburnum opulus","Guelder-rose","VIOP",""
"391","Vicia sativa","Common Vetch","VISA",""
"394","Vicia villosa","Hairy Vetch","VIVI",""
"397","Wisteria fuji","Japanese Wisteria","WIFU",""
