Date,Region name,Site name,Survey type,Plot number,Round,Include in analysis?,Sheet uploaded?,Entered?
2024-05-22,pittmeadows,bks_neaves,vegetation (bee),all,1,y,y,
2024-05-22,pittpeadows,gwb_neaves,vegetation (bee),all,1,y,y,
2024-05-23,surrey,avtar_168,rodent (holes only),"p1 and p2. ditch sampled April 26, 2024",1,y,y,
2024-05-23,surrey,avtar_168,bombus,all,1,y,y,NC
2024-05-23,surrey,avtar_168,vegetation (bee),all,1,y,y,
2024-05-23,surrey,surjit_168,vegetation (bee),p1 and ditch floral abundance,1,y,y,
2024-05-24,surrey,surjit_168,bombus,all,1,y,y,NC
2024-05-24,surrey,surjit_168,vegetation (bee),"p2 and ditch (p1 and ditch floral abundance surveyed on May 23, 2024)",,y,y,
2024-06-05,delta_4,lbf_ladnertrunk,bombus,all,1,y,y,NC
2024-06-05,delta_4,sandhu_ladnertrunk,bombus,all,1,y,y,NC
2024-06-05,delta_4,lbf_ladnertrunk,vegetation (bee and rodent),all,1,y,y,
2024-06-05,delta_4,sandhu_ladnertrunk,vegetation (bee and rodent),all,1,y,y,
2024-06-06,delta_3,bates_57b,bombus,all,1,y,y,
2024-06-06,delta_3,bks_56,bombus,all,1,y,y,
2024-06-06,delta_3,bates_57b,vegetation (bee),all,1,y,y,
2024-06-06,delta_3,bks_56,vegetation (bee),all,1,y,y,
2024-06-07,delta_4,lbf_ladnertrunk,rodent (holes only),all,1,y,y,
2024-06-07,delta_4,sandhu_ladnertrunk,rodent (holes only),all,1,y,y,
2024-06-18,delta_1,bks_68,bombus,all,2,y,y,NC
2024-06-18,delta_1,chong_68,bombus,all,2,y,y,NC
2024-06-18,delta_1,bks_68,vegetation (bee),all,2,y,y,
2024-06-18,delta_1,chong_68,vegetation (bee),all,2,y,y,
2024-06-19,delta_2,bks_96,bombus,all,2,y,y,NC
2024-06-19,delta_2,chong_96,bombus,all,2,y,y,
2024-06-19,delta_2,bks_96,vegetation (bee),all,2,y,y,
2024-06-19,delta_2,chong_96,vegetation (bee),all,2,y,y,
2024-06-20,pittmeadows,bks_neaves,bombus,all,2,y,y,NC
2024-06-20,pittpeadows,gwb_neaves,bombus,all,2,y,y,NC
2024-06-20,pittmeadows,bks_neaves,vegetation (bee),all,2,y,y,
2024-06-20,pittpeadows,gwb_neaves,vegetation (bee),all,2,y,y,
2024-06-21,delta_3,bates_57b,bombus,all,2,y,y,
2024-06-21,delta_3,bks_56,bombus,all,2,y,y,
2024-06-21,delta_3,bates_57b,vegetation (bee),all,2,y,y,
2024-06-21,delta_3,bks_56,vegetation (bee),all,2,y,y,
2024-07-02,delta_4,lbf_ladnertrunk,bombus,all,2,y,y,
2024-07-02,delta_4,sandhu_ladnertrunk,bombus,all,2,y,y,
2024-07-02,delta_4,lbf_ladnertrunk,vegetation (bee),all,2,y,y,
2024-07-02,delta_4,sandhu_ladnertrunk,vegetation (bee),all,2,y,y,
2024-07-03,surrey,avtar_168,bombus,all,2,y,y,
2024-07-03,surrey,surjit_168,bombus,all,2,y,y,
2024-07-03,surrey,surjit_168,vegetation (bee),all,2,y,y,
2024-07-03,surrey,avtar_168,vegetation (bee),all,2,y,y,
2024-07-09,delta_1,bks_68,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
2024-07-09,delta_1,chong_68,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
2024-07-10,delta_2,bks_96,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
2024-07-10,delta_2,chong_96,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
2024-07-10,delta_1,bks_68,vegetation (rodent),p1 and p2,3,y,y,
2024-07-10,delta_2,bks_96,vegetation (rodent),p1 and p2,3,y,y,
2024-07-10,delta_1,chong_68,vegetation (rodent),p1 and p2,3,y,y,
2024-07-10,delta_2,chong_96,vegetation (rodent),p1 and p2,3,y,y,
2024-07-23,delta_3,bates_57b,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
2024-07-24,delta_4,lbf_ladnertrunk,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
2024-07-24,delta_3,bates_57b,vegetation (rodent),p1 and p2,3,y,y,
2024-07-24,delta_3,bks_56,vegetation (rodent),p1 and p2,3,y,y,
2024-07-26,delta_4,lbf_ladnertrunk,vegetation (rodent),p1 and p2,3,y,y,
2024-07-29,delta_4,sandhu_ladnertrunk,vegetation (rodent),p1 and p2,3,y,y (excel doc),
2024-08-06,surrey,surjit_168,rodent (powder),all,2,y,na (already entered),RG/AD
2024-08-06,surrey,avtar_168,rodent (powder),all,2,y,na (already entered),RG/AD
2024-08-06,surrey,surjit_168,vegetation (rodent),all,3,y,y (excel doc),
2024-08-06,surrey,avtar_168,vegetation (rodent),all,3,y,y (excel doc),
2024-08-07,delta_3,bks_56,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
2024-08-12,delta_4,sandhu_ladnertrunk,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
2024-08-14,pittmeadows,bks_neaves,vegetation (rodent),p1 and p2,3,y,y (excel doc),
2024-08-14,pittpeadows,gwb_neaves,vegetation (rodent),p1 and p2,3,y,y (excel doc),
2024-10-01,pittmeadows,bks_neaves,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
2024-10-01,pittpeadows,gwb_neaves,rodent (powder),p1 and p2,2,y,na (already entered),RG/AD
